important_features,category
8340, Legacy
8108, Pandaria
2187, Raids
13449, Dungeons
8093, Player vs. Player
8022, Legacy
8020, Legacy
2903, Raids
2904, Raids
2716, Legacy
7947, Legacy
7937, Legacy
2974, Raids
2983, Raids
3004, Raids
3005, Raids
3016, Raids
3057, Raids
3059, Raids
7946, Legacy
2557, Northrend
13448, Dungeons
8307, Legacy
2359, Legacy
2398, Events
13310, War Effort
13309, War Effort
8218, Player vs. Player
8244, Player vs. Player
8243, Player vs. Player
2199, Wintergrasp
2422, Noblegarden
2436, Noblegarden
2556, Exploration
5386, Feats of Strength
12939, Battle for Azeroth
7324, Pandaria
13720, World
5449, Cataclysm
5250, Battle for Gilneas
409, Player vs. Player
1188, Love is in the Air
3848, Isle of Conquest
6030, Darkmoon Faire
4858, Archaeology
2420, Noblegarden
5868, Cataclysm
13474, Battle for Azeroth
6031, Darkmoon Faire
8050, Pandaria
12406, Seething Shore
6, Character
2907, Raids
5482, Cataclysm
13054, Battle for Azeroth
8051, Pandaria
13009, Battle for Azeroth
13027, Battle for Azeroth
10709, Legion Dungeon
3582, Pilgrim's Bounty
11, Character
2421, Noblegarden
8114, Pandaria
889, Character
13011, Battle for Azeroth
5860, Cataclysm
13556, Battle for Azeroth
10671, Character
13, Character
11066, Legion
12544, Character
10334, Feats of Strength
890, Character
1257, Fishing
12, Character
10, Character
2923, Legacy
8, Character
2016, Player vs. Player
891, Character
10722, Fishing
6850, Pandaria
6193, Character
157, Arathi Basin
7, Character
213, Eye of the Storm
6716, Pandaria
9, Character
9060, Character
2908, Raids
6132, Cataclysm Dungeon
9825, Draenor
5257, Battle for Gilneas
291, Hallow's End
583, Arathi Basin
7248, Pandaria Scenarios
1153, Arathi Basin
9481, Draenor
603, Player vs. Player
3736, Argent Tournament
503, Quests
277, Winter Veil
1688, Winter Veil
5871, Cataclysm
10069, Draenor
4826, Character
9836, Draenor
13307, War Effort
5444, Eastern Kingdoms
1790, Children's Week
2497, Noblegarden
137, Professions
12489, Battle Dungeon
10459, Legion Class Hall
6858, Pandaria
1295, Winter Veil
6477, Pandaria Dungeon
5864, Cataclysm
2419, Noblegarden
4400, Events
6855, Pandaria
6754, Pandaria
6847, Pandaria
12722, Battle Dungeon
5850, Fishing
11919, Darkmoon Faire
2576, Noblegarden
9562, Draenor
13061, Battle for Azeroth
5765, Cataclysm Dungeon
418, Player vs. Player
6846, Pandaria
5761, Cataclysm Dungeon
1781, Cooking
221, Alterac Valley
5719, Tol Barad
1865, Lich King Dungeon
13057, Battle for Azeroth
1276, Outland
272, Midsummer
7945, Legacy
5481, Cataclysm
5849, Fishing
13470, Battle for Azeroth
5385, Feats of Strength
8049, Pandaria
13437, Battle for Azeroth
6931, Pandaria Scenarios
1552, Lunar Festival
9637, Draenor
3854, Isle of Conquest
5480, Professions
8983, Draenor Raid
5251, Battle for Gilneas
5226, Twin Peaks
872, Warsong Gulch
9533, Draenor
7948, Legacy
11567, Brawler's Guild
6715, Pandaria Dungeon
5779, Cooking
2155, Lich King Dungeon
6857, Pandaria
2772, Argent Tournament
1751, Wintergrasp
1789, Children's Week
11802, Legion
1260, Brewfest
9071, Professions
5446, Cataclysm
9638, Draenor
293, Brewfest
9103, Ashran
5454, Kalimdor
1275, Outland
6856, Pandaria
5844, Cooking
2039, Lich King Dungeon
5505, Cataclysm Dungeon
2933, Raids
1254, Northrend
9104, Ashran
2924, Legacy
252, Winter Veil
5256, Battle for Gilneas
3803, Lich King Dungeon
9667, Draenor
13691, Battle for Azeroth
11262, Legion
5744, Cataclysm Dungeon
4522, Lich King Dungeon
1281, Lunar Festival
13345, Battle Raid
5861, Cataclysm
1763, Player vs. Player
7330, Pandaria
3852, Isle of Conquest
5483, Cataclysm
9678, Draenor
1718, Wintergrasp
11769, Legion Dungeon
604, Player vs. Player
1291, Love is in the Air
283, Hallow's End
5487, Tol Barad
2935, Raids
2193, Player vs. Player
8714, Pandaria
8105, Pandaria
973, Quests
1185, Brewfest
7317, Pandaria
5227, Twin Peaks
5286, Cataclysm Dungeon
2960, Raids
5367, Cataclysm Dungeon
13764, Battle for Azeroth
9900, Draenor Garrison
12410, Seething Shore
5262, Battle for Gilneas
7319, Pandaria
7289, Pandaria
3097, Raids
5477, Fishing
8351, Battlegrounds
8350, Battlegrounds
587, Eye of the Storm
13767, Battle Raid
5193, Archaeology
8537, Pandaria Raid
584, Arathi Basin
644, Classic
226, Alterac Valley
13722, Battle for Azeroth
3850, Isle of Conquest
5220, Twin Peaks
5192, Archaeology
12574, World
9564, Draenor
5486, Tol Barad
14160, Battle for Azeroth
2189, Player vs. Player
1690, Winter Veil
13763, Battle for Azeroth
4859, Archaeology
9436, Draenor
1957, Fishing
13419, Raids
5546, Kalimdor
9633, Draenor
1864, Lich King Dungeon
9535, Draenor
6882, Temple of Kotmogu
9435, Draenor
5848, Fishing
7230, Pandaria
13476, Battle for Azeroth
1251, Warsong Gulch
5873, Cataclysm
4403, Lich King Raid
5369, Cataclysm Dungeon
5313, Raids
5547, Kalimdor
13779, Feats of Strength
5294, Cataclysm Dungeon
12576, World
6883, Silvershard Mines
5304, Cataclysm Raid
6947, Temple of Kotmogu
784, Eye of the Storm
5248, Battle for Gilneas
12614, Battle for Azeroth
12726, Battle Dungeon
5448, Kalimdor
1872, Lich King Dungeon
9710, Draenor
2057, Lich King Dungeon
10817, Legion Raid
5842, Cooking
9222, Ashran
10016, Draenor Garrison
1765, Player vs. Player
12551, Battle Raid
962, Northrend
6427, Pandaria Dungeon
12943, Battle for Azeroth
13489, Fishing
5479, Fishing
161, Arathi Basin
13698, Battle Dungeon
10015, Draenor Garrison
2959, Raids
150, Fishing
5855, Cataclysm Raid
12579, World
1502, Warsong Gulch
8119, Pandaria
1696, Love is in the Air
5290, Cataclysm Dungeon
2152, Lich King Dungeon
5291, Cataclysm Dungeon
10609, Archaeology
1428, Northrend
5841, Cooking
624, Lich King Raid
495, Lich King Dungeon
5285, Cataclysm Dungeon
9659, Draenor
10075, Draenor
224, Alterac Valley
2094, Fishing
13477, Battle for Azeroth
616, Player vs. Player
8725, Pandaria
8712, Pandaria
3800, Lich King Raid
1296, Lich King Dungeon
5718, Tol Barad
5450, Cataclysm
4256, Isle of Conquest
1176, Character
3856, Isle of Conquest
6070, Cataclysm Dungeon
5219, Twin Peaks
9181, Draenor Garrison
5284, Cataclysm Dungeon
6455, Pandaria Raid
2975, Raids
5221, Twin Peaks
504, Quests
13479, Battle for Azeroth
2041, Lich King Dungeon
14024, Battle Raid
12940, Battle for Azeroth
9257, Ashran
9634, Draenor
2154, Lich King Dungeon
4406, Lich King Raid
8090, Pandaria Raid
1151, Alterac Valley
2925, Raids
8315, Pandaria Scenarios
13713, Battle for Azeroth
8332, Deepwind Gorge
2037, Lich King Dungeon
1412, Feats of Strength
496, Lich King Dungeon
13023, Battle for Azeroth
2927, Raids
5445, Cataclysm
11773, Legion Raid
5191, Archaeology
4852, Cataclysm Raid
1195, Outland
6180, Cataclysm Raid
13482, Battle for Azeroth
5371, Cataclysm Dungeon
5296, Cataclysm Dungeon
14038, Battle Raid
3181, Raids
5478, Fishing
1277, Northrend
1860, Lich King Dungeon
1297, Lich King Dungeon
1701, Love is in the Air
5281, Cataclysm Dungeon
13570, World
8081, Pandaria Raid
5295, Cataclysm Dungeon
1761, Player vs. Player
2909, Raids
5289, Cataclysm Dungeon
8314, Pandaria Scenarios
610, Player vs. Player
9543, Draenor Garrison
5847, Fishing
12270, Battle Dungeon
12867, War Effort
10068, Draenor
13430, Battle Raid
5293, Cataclysm Dungeon
9552, Draenor Dungeon
12578, World
6937, Pandaria Raid
11768, Legion Dungeon
5222, Twin Peaks
10575, Legion Raid
1801, Cooking
6824, Pandaria Raid
5317, Cataclysm
158, Arathi Basin
8082, Pandaria Raid
8975, Draenor Raid
9419, Archaeology
6717, Pandaria Raid
9894, Darkmoon Faire
5503, Cataclysm Dungeon
3777, Isle of Conquest
11674, Legion Raid
2153, Lich King Dungeon
13308, War Effort
9433, Draenor
9536, Draenor
13501, Battle Raid
8952, Draenor Raid
5504, Cataclysm Dungeon
231, Player vs. Player
12884, War Effort
5326, Rated Battleground
12869, War Effort
1866, Lich King Dungeon
2976, Raids
13121, Island Expeditions
13768, Battle Raid
7252, Pandaria Scenarios
8722, Pandaria
7249, Pandaria Scenarios
5283, Cataclysm Dungeon
3847, Isle of Conquest
1877, Lich King Raid
12084, Legion
673, The Burning Crusade
10996, Legion Dungeon
5246, Battle for Gilneas
