,player,realm,gear_score,last_login,time_since_login,engagement,status,Alterac Valley,Arathi Basin,Archaeology,Arena,Argent Tournament,Ashran,Battle Dungeon,Battle Raid,Battle for Azeroth,Battle for Gilneas,Battlegrounds,Brawler's Guild,Brewfest,Cataclysm,Cataclysm Dungeon,Cataclysm Raid,Character,Children's Week,Classic,Collections,Cooking,Currencies,Darkmoon Faire,Deepwind Gorge,Draenor,Draenor Dungeon,Draenor Garrison,Draenor Raid,Dungeons,Dungeons & Raids,Eastern Kingdoms,Events,Expansion Features,Exploration,Eye of the Storm,Feats of Strength,Fishing,General,Guild Feats of Strength,Hallow's End,Heart of Azeroth,Honor,Island Expeditions,Isle of Conquest,Kalimdor,Legacy,Legion,Legion Class Hall,Legion Dungeon,Legion Raid,Lich King Dungeon,Lich King Raid,Love is in the Air,Lunar Festival,Midsummer,Mounts,Noblegarden,Northrend,Outland,Pandaria,Pandaria Dungeon,Pandaria Raid,Pandaria Scenarios,Pet Battles,Pilgrim's Bounty,Player vs. Player,Professions,Promotions,Quests,Raids,Rated Battleground,Reputation,Seething Shore,Silvershard Mines,Temple of Kotmogu,The Burning Crusade,Tol Barad,Twin Peaks,Visions of N'Zoth,War Effort,Warsong Gulch,Winter Veil,Wintergrasp,World,World Events,Wrath of the Lich King
773,zavinz,zuljin,447.0,2020-06-15,-10 days +00:00:00.000000000,0.0,active,3,3,3,3,0,2,13,3,30,0,0,0,0,10,0,0,27,0,8,0,2,4,0,0,10,0,18,0,3,5,2,7,3,1,1,26,2,0,0,0,5,0,3,1,1,8,18,10,30,11,4,85,0,0,0,3,0,1,1,16,0,0,0,0,0,24,11,1,13,41,10,5,0,0,0,19,0,0,1,7,3,0,0,5,0,11
774,sangmemelios,zuljin,388.0,2020-06-11,-6 days +00:00:00.000000000,0.0,active,4,3,2,1,0,2,0,3,23,0,0,0,1,11,4,39,26,0,6,0,2,4,3,0,18,11,45,8,0,1,4,9,0,1,1,26,7,0,0,0,2,0,0,2,2,8,9,3,0,1,7,29,1,0,1,3,0,1,1,22,1,17,0,0,0,27,10,1,13,3,8,5,0,0,0,17,2,0,0,3,2,2,0,4,0,10
775,neothryn,zuljin,353.0,2020-04-02,64 days 00:00:00.000000000,1.0,risk,4,3,3,3,0,2,13,3,36,2,0,1,0,11,15,21,26,0,5,0,7,5,2,1,13,18,52,30,4,6,1,9,5,1,0,25,3,0,0,2,1,0,2,1,1,16,38,17,40,20,6,39,1,0,0,3,0,1,1,20,15,30,13,0,0,26,16,1,17,6,9,5,0,1,2,23,0,2,0,6,3,0,0,1,0,10
776,zavins,zuljin,450.0,2020-06-15,-10 days +00:00:00.000000000,0.0,active,4,2,2,2,2,2,20,4,28,0,0,0,0,16,13,15,27,0,7,0,9,7,2,0,16,25,49,34,23,7,22,7,3,1,0,25,1,0,0,3,5,0,16,1,20,12,25,15,31,14,18,47,1,0,13,3,0,5,3,22,14,13,1,0,1,25,17,1,16,14,8,5,0,0,0,20,2,0,1,6,2,3,7,6,0,11
777,elkhad,zuljin,443.0,2019-12-04,184 days 00:00:00.000000000,1.0,risk,4,3,18,8,2,4,29,49,62,2,0,1,2,31,18,40,28,1,10,0,26,7,13,2,37,24,74,51,55,8,25,15,6,3,3,25,23,0,0,4,6,2,39,2,22,18,49,19,53,71,22,99,4,6,10,3,2,14,10,50,20,26,4,1,1,35,34,1,20,36,13,3,1,2,3,28,3,3,1,10,5,3,9,3,1,11
778,hailey,zuljin,456.0,2020-06-09,-4 days +00:00:00.000000000,0.0,active,3,2,14,3,0,3,1,26,36,1,0,0,2,19,5,55,27,0,6,1,7,5,10,2,21,4,33,3,41,5,6,9,5,1,0,25,8,0,0,5,2,0,32,1,1,20,22,8,20,10,10,142,1,0,6,3,3,8,1,56,31,78,20,1,1,29,19,1,17,93,12,1,0,1,1,17,3,3,2,9,2,2,9,7,0,9
779,tatahe,zuljin,439.0,2020-05-17,19 days 00:00:00.000000000,0.0,active,10,9,100,16,16,9,34,30,74,8,3,4,3,33,24,53,28,2,15,2,47,13,47,3,45,33,85,64,68,9,32,19,6,3,6,25,41,0,0,6,7,1,49,6,26,34,69,22,51,72,28,175,8,11,18,3,4,15,11,82,30,94,39,2,2,87,37,1,20,114,27,8,7,7,7,45,5,10,2,13,11,6,11,17,5,12
780,draxyl,zuljin,372.0,2019-11-25,193 days 00:00:00.000000000,1.0,risk,8,3,88,16,7,8,30,26,54,3,2,4,2,28,17,46,27,2,12,2,41,13,46,3,28,27,63,52,68,7,30,20,6,3,6,26,31,0,0,7,7,0,38,3,25,34,35,17,46,68,18,156,8,6,18,3,4,12,6,59,21,70,36,2,1,83,18,1,20,100,23,3,4,3,5,40,5,6,2,10,9,5,10,9,5,11
781,liantrusa,zuljin,444.0,2020-06-03,2 days 00:00:00.000000000,0.0,active,5,3,39,16,16,5,28,28,72,3,2,4,5,33,33,47,28,3,14,2,49,13,47,2,49,36,81,37,67,7,32,20,6,3,5,26,46,0,0,9,7,0,47,2,27,33,60,19,46,67,60,163,10,12,12,3,5,15,10,65,24,58,19,2,5,79,32,1,18,113,23,6,4,3,2,41,4,6,4,12,8,5,10,8,5,11
782,dalilac,zuljin,457.0,2020-06-14,-9 days +00:00:00.000000000,0.0,active,5,3,58,16,15,7,28,27,93,3,2,4,6,37,22,46,28,2,10,2,50,13,49,1,53,27,83,36,67,5,30,19,6,3,5,25,43,0,0,13,7,0,48,2,33,32,61,20,43,66,42,152,10,14,14,3,5,22,11,74,23,55,16,2,2,78,33,1,20,92,23,6,4,3,2,39,4,4,8,17,7,5,9,6,4,12
783,redlolah,zuljin,397.0,2020-06-07,-2 days +00:00:00.000000000,0.0,active,7,3,49,12,5,7,14,26,72,2,0,3,5,19,5,22,26,1,6,2,40,7,48,0,31,26,61,50,62,4,5,15,4,1,3,23,41,0,0,10,7,0,29,3,12,27,40,9,18,54,6,56,7,11,10,3,5,4,2,54,12,7,4,2,2,78,23,1,12,38,14,4,3,2,2,18,2,4,8,11,4,2,0,3,4,10
784,honchkrow,zuljin,263.0,2020-06-12,-7 days +00:00:00.000000000,0.0,active,4,2,16,1,0,2,0,3,34,0,0,0,0,11,1,0,24,0,4,0,4,5,1,0,10,0,14,1,0,0,5,5,2,0,0,23,3,0,0,0,1,0,2,1,7,6,10,3,0,0,3,28,1,0,0,3,0,3,1,16,1,0,0,0,0,36,18,1,8,0,11,5,0,0,0,13,0,0,0,3,2,0,0,4,0,10
785,okarnah,zuljin,318.0,2020-02-07,119 days 00:00:00.000000000,1.0,risk,4,2,16,1,0,2,0,3,28,0,0,0,0,9,8,0,21,0,4,0,4,3,0,0,8,4,12,4,0,2,3,6,5,1,0,23,5,0,0,2,1,0,2,1,7,6,16,11,16,11,0,38,1,1,0,3,0,1,0,14,2,4,0,0,0,35,12,1,8,6,11,3,1,1,2,9,0,0,0,3,2,3,0,0,0,3
786,hbo,zuljin,443.0,2020-06-15,-10 days +00:00:00.000000000,0.0,active,3,2,4,1,0,2,10,3,28,0,0,0,0,10,11,13,26,0,6,0,2,4,0,0,10,2,12,0,0,5,1,4,4,1,0,23,1,0,0,0,4,0,10,1,1,6,16,14,29,11,11,33,1,4,0,3,0,1,1,16,4,1,0,0,0,35,18,1,14,8,11,5,0,0,0,14,0,0,1,5,2,1,0,4,0,11
787,bubblekin,zuljin,438.0,2020-06-02,3 days 00:00:00.000000000,0.0,active,4,3,4,6,0,3,18,27,49,3,0,1,0,19,11,23,27,0,6,0,3,6,4,1,23,21,52,50,5,7,21,7,5,1,3,23,5,0,0,1,5,1,38,2,18,11,41,18,44,68,14,64,1,1,0,3,0,3,1,17,1,21,0,0,0,44,21,1,15,47,17,1,1,2,3,24,2,2,0,5,7,1,0,0,0,10
788,audoris,zuljin,388.0,2020-02-07,119 days 00:00:00.000000000,1.0,risk,2,2,4,5,1,3,15,23,32,2,0,0,0,8,11,20,24,0,8,0,3,3,2,0,12,8,23,13,4,6,1,9,6,1,0,23,2,0,0,3,2,1,18,1,2,9,15,12,28,55,12,32,1,1,1,3,0,0,0,16,3,0,0,0,0,35,6,1,14,20,17,1,3,0,2,9,2,0,0,6,3,3,0,0,0,4
789,borinhala,zuljin,416.0,2019-11-25,193 days 00:00:00.000000000,1.0,risk,2,2,4,4,1,3,29,28,46,2,0,0,0,17,18,20,28,0,7,0,16,5,2,0,15,9,31,13,6,7,22,11,6,1,0,23,2,0,0,2,3,1,33,1,16,9,37,18,43,62,16,32,1,1,1,3,0,1,1,16,17,2,0,0,0,38,23,1,16,20,17,1,3,0,2,18,3,0,0,7,3,3,0,0,0,4
790,ribsx,zuljin,481.0,2020-06-16,-11 days +00:00:00.000000000,0.0,active,8,5,105,21,16,11,38,63,105,4,2,4,4,36,36,58,28,2,25,1,46,14,41,3,53,44,94,62,53,9,29,32,6,3,3,25,41,0,0,7,10,3,53,6,26,36,65,22,49,75,44,186,10,8,16,6,6,21,13,80,28,96,44,2,2,96,35,1,20,129,21,9,6,7,7,54,4,8,17,15,7,4,13,23,5,12
791,rhoodyo,zuljin,439.0,2020-05-04,32 days 00:00:00.000000000,1.0,risk,7,8,90,12,0,9,28,53,87,4,1,3,1,22,19,42,27,2,11,1,31,10,15,2,25,18,59,12,23,6,27,18,3,3,6,25,27,0,0,4,9,1,41,6,25,28,23,19,36,46,14,122,3,1,13,6,3,11,9,46,18,30,13,0,0,91,29,1,18,60,21,9,4,4,6,33,3,7,13,11,11,1,11,20,4,11
792,squishwei,zuljin,475.0,2020-06-16,-11 days +00:00:00.000000000,0.0,active,4,3,91,7,0,5,32,24,52,1,0,3,0,10,7,2,23,0,15,1,18,4,6,1,21,12,36,27,2,5,0,10,6,1,1,25,26,0,0,1,6,0,30,3,2,12,31,21,42,17,11,68,1,0,11,5,0,1,1,22,1,3,3,0,0,60,18,1,15,13,9,7,0,3,1,25,1,1,17,9,5,2,0,12,3,11
793,cold,zuljin,482.0,2020-06-16,-11 days +00:00:00.000000000,0.0,active,4,3,82,13,0,4,32,63,67,3,1,4,0,10,14,0,28,0,5,1,19,4,12,2,16,2,25,0,2,7,1,11,6,1,1,26,21,0,0,1,8,2,44,3,1,14,42,19,50,75,14,89,0,0,11,5,0,1,1,19,13,2,3,0,0,63,18,1,16,55,11,7,1,2,4,29,0,5,17,11,5,1,1,8,3,11
794,gethenn,madoran,268.0,2020-05-18,18 days 00:00:00.000000000,0.0,active,2,1,26,4,6,2,4,5,31,1,0,2,2,9,12,22,24,0,6,0,1,4,2,0,19,18,43,18,14,4,4,9,3,1,0,45,1,0,0,7,4,0,1,1,2,9,16,10,28,8,6,17,1,0,11,5,0,2,1,15,0,1,3,0,2,35,17,0,14,3,13,5,4,0,2,18,0,0,0,7,3,2,0,5,0,11
795,valkun,madoran,451.0,2020-06-11,-6 days +00:00:00.000000000,0.0,active,2,0,5,4,6,2,1,6,50,1,0,1,6,15,1,28,28,1,5,0,33,5,5,0,18,4,54,10,14,0,22,23,3,3,0,45,22,0,0,14,6,0,13,1,16,9,47,13,14,2,3,17,6,15,11,5,0,7,2,37,0,10,3,1,3,30,26,0,18,3,13,5,4,0,2,15,0,0,1,10,2,5,0,6,1,11
796,zotum,madoran,451.0,2020-06-11,-6 days +00:00:00.000000000,0.0,active,2,0,15,4,7,2,3,6,57,1,0,1,5,29,4,26,27,1,6,0,37,5,7,0,24,6,53,10,15,2,27,26,3,3,0,45,22,0,0,11,6,0,20,1,23,9,49,14,21,6,3,37,5,3,11,5,2,13,9,43,3,11,4,2,3,31,31,0,18,3,13,5,4,0,2,29,0,0,2,13,2,5,0,6,1,11
797,epidural,madoran,344.0,2020-04-11,55 days 00:00:00.000000000,1.0,risk,2,0,4,4,6,2,2,5,32,0,0,1,1,9,1,1,24,0,7,0,5,4,1,0,19,3,36,3,14,0,3,14,1,1,0,45,1,0,0,7,2,0,18,1,2,9,13,4,4,1,1,31,1,0,10,5,0,2,1,18,0,2,3,0,4,32,17,0,14,3,13,5,4,0,1,23,0,0,0,9,2,3,0,4,0,11
798,tiptoe,madoran,407.0,2020-06-16,-11 days +00:00:00.000000000,0.0,active,1,0,0,4,6,1,1,5,31,0,0,1,1,9,0,4,24,0,7,0,4,4,1,0,13,2,19,4,0,0,2,8,2,1,0,45,0,0,0,5,3,0,26,1,2,7,16,10,3,0,1,20,1,0,14,5,0,2,1,18,0,6,3,0,2,33,17,0,15,3,13,4,4,0,0,13,0,0,0,9,1,0,0,5,0,11
799,colville,madoran,451.0,2020-06-16,-11 days +00:00:00.000000000,0.0,active,1,1,0,4,6,1,1,7,53,0,0,1,2,9,0,3,27,0,7,0,0,4,0,0,14,1,11,2,0,0,2,10,3,1,0,45,2,0,0,6,7,0,30,2,3,7,27,13,3,2,1,17,1,0,10,5,0,2,2,17,0,0,3,1,2,38,15,0,17,3,13,5,0,0,0,13,0,0,2,15,1,1,0,5,0,10
800,vishanti,madoran,448.0,2020-06-16,-11 days +00:00:00.000000000,0.0,active,6,2,25,5,21,10,15,9,73,1,0,2,6,33,27,49,27,3,20,1,45,11,23,1,47,30,81,59,2,6,42,31,5,3,2,45,40,0,0,11,7,1,25,2,36,30,64,19,33,18,43,161,10,11,25,5,3,20,15,70,21,56,36,2,6,49,33,0,20,90,13,6,0,1,1,50,3,2,2,13,4,6,11,8,6,12
801,weedfoot,madoran,429.0,2020-06-06,-1 days +00:00:00.000000000,0.0,active,2,1,13,5,6,7,9,8,41,0,0,1,3,14,11,32,27,2,7,1,10,11,4,0,25,12,46,45,0,3,8,19,4,1,0,45,15,0,0,5,3,1,5,1,6,24,24,7,6,3,13,93,4,5,15,5,0,2,5,37,6,20,29,1,2,39,22,0,16,58,13,3,0,0,0,17,2,0,0,7,2,3,11,5,3,11
802,kypo,madoran,327.0,2020-02-07,119 days 00:00:00.000000000,1.0,risk,2,1,13,5,6,7,8,8,40,0,0,1,2,11,3,26,24,1,5,1,8,11,3,0,27,21,30,44,0,1,5,16,4,1,0,45,15,0,0,7,3,1,1,1,7,23,25,6,14,1,17,80,3,1,15,5,0,3,2,23,6,55,29,0,2,34,18,0,17,52,13,2,0,0,0,18,0,0,0,6,2,1,5,5,2,11
803,stinsonator,madoran,250.0,2020-04-29,37 days 00:00:00.000000000,1.0,risk,3,2,5,5,6,4,3,7,33,1,0,1,1,11,4,29,24,0,5,0,7,4,2,1,19,11,25,7,0,6,3,11,4,1,4,45,6,0,0,6,2,1,1,0,2,14,20,12,32,9,6,37,4,0,11,5,0,2,2,24,0,12,20,1,2,46,11,0,14,12,13,6,0,2,3,26,0,0,0,6,4,1,0,6,2,12
804,sene,madoran,451.0,2020-06-16,-11 days +00:00:00.000000000,0.0,active,3,2,3,5,6,2,2,10,59,0,0,1,2,8,0,17,28,0,4,0,2,5,0,0,21,4,50,7,1,3,3,13,4,1,1,45,4,0,0,6,7,0,29,0,2,14,36,18,20,5,3,33,1,0,10,5,0,2,1,21,0,6,20,2,2,36,24,0,16,12,13,6,0,1,2,13,0,0,2,15,1,3,0,4,2,10
805,celathel,madoran,405.0,2020-06-07,-2 days +00:00:00.000000000,0.0,active,3,2,26,5,20,9,19,10,65,0,0,2,6,34,19,45,28,2,18,1,42,9,35,0,38,27,65,47,1,6,35,29,4,3,3,45,31,0,0,8,7,0,27,0,26,26,45,15,37,32,30,143,7,4,18,5,2,16,13,60,21,82,20,2,6,41,34,0,20,20,13,6,0,2,2,52,3,0,2,10,2,5,9,5,4,12
806,tella,madoran,362.0,2020-05-20,16 days 00:00:00.000000000,0.0,active,2,1,19,5,6,2,3,7,37,0,0,1,4,15,11,34,27,2,7,0,18,4,2,0,18,3,30,1,0,5,10,17,4,3,1,45,13,0,0,9,4,0,13,0,12,12,41,16,20,14,11,89,4,13,12,5,1,8,2,27,0,10,7,1,3,39,25,0,18,42,13,6,0,1,1,25,2,0,2,6,1,2,4,5,3,11
