,faction,guild_name,guild_rank,id,level,playable_class,playable_race,player,realm,realm_id
0,Alliance,fission-chips,5.0,2199446.0,90.0,8.0,1.0,Maye,proudmoore,5.0
1,Alliance,fission-chips,5.0,2199650.0,90.0,1.0,7.0,Mammothjr,proudmoore,5.0
2,Alliance,fission-chips,1.0,2200174.0,120.0,5.0,3.0,Bombur,proudmoore,5.0
3,Alliance,fission-chips,1.0,2200180.0,100.0,9.0,7.0,Cannonball,proudmoore,5.0
4,Alliance,fission-chips,5.0,2200181.0,88.0,2.0,3.0,Hildebr19275,proudmoore,5.0
5,Alliance,fission-chips,5.0,2200209.0,16.0,8.0,7.0,Furixyz,proudmoore,5.0
6,Alliance,fission-chips,5.0,2200211.0,82.0,9.0,7.0,Ficl,proudmoore,5.0
7,Alliance,fission-chips,5.0,2200214.0,45.0,4.0,7.0,Fooly,proudmoore,5.0
8,Alliance,fission-chips,5.0,2200217.0,81.0,1.0,7.0,Foolyco19299,proudmoore,5.0
9,Alliance,fission-chips,5.0,2200234.0,85.0,8.0,1.0,Zefiris,proudmoore,5.0
10,Alliance,fission-chips,4.0,2200235.0,92.0,8.0,7.0,Allieboo,proudmoore,5.0
11,Alliance,fission-chips,5.0,2201238.0,63.0,3.0,3.0,Brunhe,proudmoore,5.0
12,Alliance,fission-chips,1.0,2201407.0,120.0,2.0,3.0,Thordreen,proudmoore,5.0
13,Alliance,fission-chips,5.0,2202006.0,62.0,9.0,1.0,Circe,proudmoore,5.0
14,Alliance,fission-chips,5.0,2202177.0,90.0,3.0,3.0,Littlebigman,proudmoore,5.0
15,Alliance,fission-chips,5.0,2204542.0,90.0,4.0,4.0,Fiona,proudmoore,5.0
16,Alliance,fission-chips,5.0,2204802.0,85.0,8.0,1.0,Cogline,proudmoore,5.0
17,Alliance,fission-chips,5.0,2205364.0,89.0,5.0,1.0,Micado,proudmoore,5.0
18,Alliance,fission-chips,5.0,2205895.0,100.0,11.0,4.0,Munjuwraith,proudmoore,5.0
19,Alliance,fission-chips,4.0,2205960.0,120.0,4.0,7.0,Vito,proudmoore,5.0
20,Alliance,fission-chips,5.0,2207928.0,110.0,1.0,1.0,Paelos,proudmoore,5.0
21,Alliance,fission-chips,5.0,2210164.0,44.0,8.0,1.0,Diamondspell,proudmoore,5.0
22,Alliance,fission-chips,5.0,2210193.0,47.0,3.0,4.0,Killishandra,proudmoore,5.0
23,Alliance,fission-chips,5.0,2210207.0,81.0,5.0,3.0,Foolycoolly,proudmoore,5.0
24,Alliance,fission-chips,5.0,2210376.0,110.0,8.0,7.0,Belmadappy,proudmoore,5.0
25,Alliance,fission-chips,5.0,2211674.0,101.0,9.0,1.0,Crixi,proudmoore,5.0
26,Alliance,fission-chips,1.0,2212833.0,120.0,1.0,3.0,Slamiced,proudmoore,5.0
27,Alliance,fission-chips,1.0,2213083.0,120.0,11.0,4.0,Slewov,proudmoore,5.0
28,Alliance,fission-chips,5.0,2213550.0,80.0,1.0,7.0,Lilgizmomun,proudmoore,5.0
29,Alliance,fission-chips,5.0,2214247.0,90.0,11.0,4.0,Bearysweet,proudmoore,5.0
30,Alliance,fission-chips,4.0,2214249.0,91.0,3.0,4.0,Holly,proudmoore,5.0
31,Alliance,fission-chips,5.0,2214760.0,60.0,2.0,1.0,Tom21CB68,proudmoore,5.0
32,Alliance,fission-chips,1.0,2215326.0,120.0,8.0,7.0,Stnanosnoc,proudmoore,5.0
33,Alliance,fission-chips,1.0,2219540.0,110.0,3.0,3.0,Douggy,proudmoore,5.0
34,Alliance,fission-chips,5.0,2219738.0,46.0,9.0,1.0,Diamondbane,proudmoore,5.0
35,Alliance,fission-chips,1.0,2222026.0,110.0,8.0,7.0,Pizzaz,proudmoore,5.0
36,Alliance,fission-chips,1.0,2222466.0,73.0,2.0,1.0,Srebmun,proudmoore,5.0
37,Alliance,fission-chips,5.0,2224658.0,90.0,4.0,7.0,Personperson,proudmoore,5.0
38,Alliance,fission-chips,5.0,2227508.0,110.0,8.0,1.0,Curgan,proudmoore,5.0
39,Alliance,fission-chips,1.0,2228995.0,120.0,11.0,4.0,Jandelleta,proudmoore,5.0
40,Alliance,fission-chips,3.0,2229984.0,120.0,8.0,1.0,Kelrexia,proudmoore,5.0
41,Alliance,fission-chips,5.0,2230782.0,70.0,8.0,7.0,Kid209FE,proudmoore,5.0
42,Alliance,fission-chips,1.0,2232215.0,120.0,2.0,1.0,Tardab,proudmoore,5.0
43,Alliance,fission-chips,5.0,2232755.0,100.0,11.0,22.0,Moonray,proudmoore,5.0
44,Alliance,fission-chips,5.0,2233219.0,95.0,2.0,1.0,Palamundin,proudmoore,5.0
45,Alliance,fission-chips,5.0,2235941.0,110.0,9.0,7.0,Gnoria,proudmoore,5.0
46,Alliance,fission-chips,5.0,2238528.0,35.0,5.0,1.0,Altarb222840,proudmoore,5.0
47,Alliance,fission-chips,1.0,2241189.0,120.0,1.0,1.0,Heladys,proudmoore,5.0
48,Alliance,fission-chips,5.0,2241655.0,100.0,4.0,1.0,Steelones,proudmoore,5.0
49,Alliance,fission-chips,5.0,2246029.0,44.0,2.0,3.0,Diamondsmash,proudmoore,5.0
50,Alliance,fission-chips,5.0,2247675.0,85.0,2.0,1.0,Jerrell,proudmoore,5.0
51,Alliance,fission-chips,5.0,2251049.0,1.0,8.0,7.0,Pharmac25929,proudmoore,5.0
52,Alliance,fission-chips,5.0,2251770.0,32.0,5.0,1.0,Clementia,proudmoore,5.0
53,Alliance,fission-chips,5.0,2252835.0,72.0,4.0,1.0,Khade,proudmoore,5.0
54,Alliance,fission-chips,5.0,2253026.0,78.0,8.0,7.0,Nostro,proudmoore,5.0
55,Alliance,fission-chips,1.0,2253607.0,120.0,9.0,1.0,Florix,proudmoore,5.0
56,Alliance,fission-chips,5.0,2256617.0,45.0,8.0,1.0,Ladymorgan,proudmoore,5.0
57,Alliance,fission-chips,4.0,2257135.0,120.0,11.0,4.0,Elfvis,proudmoore,5.0
58,Alliance,fission-chips,0.0,2265426.0,120.0,5.0,1.0,Srettel,proudmoore,5.0
59,Alliance,fission-chips,5.0,2269185.0,1.0,9.0,1.0,Clothm22A001,proudmoore,5.0
60,Alliance,fission-chips,5.0,2271363.0,80.0,11.0,4.0,Ayela,proudmoore,5.0
61,Alliance,fission-chips,5.0,2271923.0,37.0,1.0,4.0,Eurys,proudmoore,5.0
62,Alliance,fission-chips,1.0,2272305.0,120.0,8.0,7.0,Bankofmouse,proudmoore,5.0
63,Alliance,fission-chips,4.0,2272329.0,120.0,1.0,1.0,Gimgrae,proudmoore,5.0
64,Alliance,fission-chips,5.0,2273799.0,100.0,5.0,3.0,Frej,proudmoore,5.0
65,Alliance,fission-chips,5.0,2276114.0,82.0,3.0,3.0,Daern,proudmoore,5.0
66,Alliance,fission-chips,5.0,2278231.0,85.0,11.0,4.0,Bremen2C357,proudmoore,5.0
67,Alliance,fission-chips,5.0,2278383.0,100.0,11.0,4.0,Twyla,proudmoore,5.0
68,Alliance,fission-chips,1.0,2291876.0,120.0,1.0,3.0,Tardam,proudmoore,5.0
69,Alliance,fission-chips,5.0,2292125.0,80.0,8.0,1.0,Danyell2F99D,proudmoore,5.0
70,Alliance,fission-chips,5.0,2292897.0,74.0,1.0,3.0,Roseybeth,proudmoore,5.0
71,Alliance,fission-chips,1.0,2294735.0,120.0,1.0,4.0,Aby,proudmoore,5.0
72,Alliance,fission-chips,4.0,2295556.0,120.0,3.0,4.0,Nummular,proudmoore,5.0
73,Alliance,fission-chips,5.0,2299221.0,70.0,3.0,4.0,Wickett,proudmoore,5.0
74,Alliance,fission-chips,5.0,2299678.0,37.0,1.0,7.0,Agrobo23171E,proudmoore,5.0
75,Alliance,fission-chips,1.0,2301701.0,110.0,5.0,3.0,Yavonna,proudmoore,5.0
76,Alliance,fission-chips,5.0,2302282.0,5.0,5.0,1.0,Docdread,proudmoore,5.0
77,Alliance,fission-chips,5.0,2302687.0,85.0,9.0,1.0,Agrath,proudmoore,5.0
78,Alliance,fission-chips,5.0,2302698.0,37.0,11.0,4.0,Raquel322EA,proudmoore,5.0
79,Alliance,fission-chips,5.0,2302715.0,80.0,2.0,1.0,Triela322FB,proudmoore,5.0
80,Alliance,fission-chips,5.0,2303224.0,6.0,9.0,7.0,Sparkplugxyz,proudmoore,5.0
81,Alliance,fission-chips,4.0,2304913.0,110.0,4.0,4.0,Larxene,proudmoore,5.0
82,Alliance,fission-chips,5.0,2306890.0,45.0,1.0,4.0,Diamondslam,proudmoore,5.0
83,Alliance,fission-chips,4.0,2307395.0,120.0,9.0,1.0,Rehl,proudmoore,5.0
84,Alliance,fission-chips,4.0,2314356.0,120.0,11.0,4.0,Vladalucard,proudmoore,5.0
85,Alliance,fission-chips,5.0,2318756.0,80.0,5.0,4.0,Quinn361A4,proudmoore,5.0
86,Alliance,fission-chips,1.0,2318931.0,120.0,1.0,7.0,Sajo,proudmoore,5.0
87,Alliance,fission-chips,5.0,2324786.0,35.0,5.0,4.0,Lyrrad,proudmoore,5.0
88,Alliance,fission-chips,5.0,2327016.0,53.0,1.0,4.0,Erisi,proudmoore,5.0
89,Alliance,fission-chips,1.0,2327578.0,120.0,1.0,4.0,Jandewar,proudmoore,5.0
90,Alliance,fission-chips,5.0,2332489.0,6.0,8.0,7.0,Fcbank,proudmoore,5.0
91,Alliance,fission-chips,5.0,2333146.0,52.0,5.0,1.0,Diamondcure,proudmoore,5.0
92,Alliance,fission-chips,5.0,2333340.0,80.0,4.0,7.0,Ettibby,proudmoore,5.0
93,Alliance,fission-chips,5.0,2335252.0,17.0,3.0,3.0,Missfooly,proudmoore,5.0
94,Alliance,fission-chips,5.0,2336491.0,60.0,8.0,7.0,Expend23A6EB,proudmoore,5.0
95,Alliance,fission-chips,4.0,2337290.0,120.0,11.0,4.0,Tarana,proudmoore,5.0
96,Alliance,fission-chips,5.0,2338377.0,70.0,1.0,1.0,Baline,proudmoore,5.0
97,Alliance,fission-chips,5.0,2343240.0,97.0,9.0,7.0,Bindra,proudmoore,5.0
98,Alliance,fission-chips,5.0,2350487.0,70.0,5.0,3.0,Brunahild,proudmoore,5.0
99,Alliance,fission-chips,5.0,2352905.0,80.0,8.0,7.0,Magria,proudmoore,5.0
100,Alliance,fission-chips,5.0,2353024.0,100.0,11.0,4.0,Berwick,proudmoore,5.0
