,faction,guild_name,guild_rank,id,level,playable_class,playable_race,player,realm,realm_id
0,Alliance,mercenaries-for-azeroth,9.0,3545643.0,120.0,4.0,1.0,Bakstabbah,stormrage,60.0
1,Alliance,mercenaries-for-azeroth,5.0,13519231.0,120.0,2.0,1.0,Bromac,stormrage,60.0
2,Alliance,mercenaries-for-azeroth,9.0,16831064.0,115.0,5.0,1.0,Laotoshiko,stormrage,60.0
3,Alliance,mercenaries-for-azeroth,9.0,17507293.0,120.0,3.0,4.0,Laosouk,stormrage,60.0
4,Alliance,mercenaries-for-azeroth,9.0,22854368.0,120.0,4.0,4.0,Foshow,stormrage,60.0
5,Alliance,mercenaries-for-azeroth,9.0,27736437.0,120.0,11.0,4.0,Ativanhaldol,stormrage,60.0
6,Alliance,mercenaries-for-azeroth,5.0,32710708.0,120.0,5.0,11.0,Harlett,stormrage,60.0
7,Alliance,mercenaries-for-azeroth,9.0,43426621.0,120.0,11.0,4.0,Druidius,stormrage,60.0
8,Alliance,mercenaries-for-azeroth,5.0,45114788.0,120.0,2.0,3.0,Thorgãs,stormrage,60.0
9,Alliance,mercenaries-for-azeroth,5.0,54782242.0,120.0,4.0,4.0,Weatheran,stormrage,60.0
10,Alliance,mercenaries-for-azeroth,9.0,59109723.0,120.0,1.0,1.0,Hesketh,stormrage,60.0
11,Alliance,mercenaries-for-azeroth,5.0,71646843.0,120.0,7.0,11.0,Laki,stormrage,60.0
12,Alliance,mercenaries-for-azeroth,5.0,72425058.0,120.0,6.0,11.0,Korlashed,stormrage,60.0
13,Alliance,mercenaries-for-azeroth,5.0,75767278.0,120.0,2.0,1.0,Karnataka,stormrage,60.0
14,Alliance,mercenaries-for-azeroth,9.0,80233308.0,120.0,7.0,11.0,Biotimez,stormrage,60.0
15,Alliance,mercenaries-for-azeroth,5.0,82601324.0,120.0,11.0,4.0,Fuball,stormrage,60.0
16,Alliance,mercenaries-for-azeroth,5.0,86469685.0,120.0,11.0,22.0,Blacus,stormrage,60.0
17,Alliance,mercenaries-for-azeroth,9.0,92008909.0,111.0,7.0,11.0,Shammstein,stormrage,60.0
18,Alliance,mercenaries-for-azeroth,5.0,93819474.0,120.0,3.0,3.0,Wheatbeard,stormrage,60.0
19,Alliance,mercenaries-for-azeroth,9.0,97602542.0,120.0,6.0,29.0,Sångrè,stormrage,60.0
20,Alliance,mercenaries-for-azeroth,5.0,97643485.0,120.0,6.0,7.0,Ragingdeath,stormrage,60.0
21,Alliance,mercenaries-for-azeroth,6.0,101193342.0,102.0,3.0,22.0,Arff,stormrage,60.0
22,Alliance,mercenaries-for-azeroth,5.0,103002563.0,120.0,5.0,3.0,Jarph,stormrage,60.0
23,Alliance,mercenaries-for-azeroth,5.0,103337068.0,120.0,8.0,1.0,Krashnburn,stormrage,60.0
24,Alliance,mercenaries-for-azeroth,5.0,103366960.0,120.0,11.0,4.0,Lycanbreed,stormrage,60.0
25,Alliance,mercenaries-for-azeroth,5.0,105536509.0,120.0,3.0,22.0,Darkshotz,stormrage,60.0
26,Alliance,mercenaries-for-azeroth,5.0,109583060.0,120.0,7.0,11.0,Bigdaddykill,stormrage,60.0
27,Alliance,mercenaries-for-azeroth,9.0,109662939.0,120.0,5.0,29.0,Vazeria,stormrage,60.0
28,Alliance,mercenaries-for-azeroth,5.0,110068354.0,120.0,9.0,22.0,Bigdaddyevil,stormrage,60.0
29,Alliance,mercenaries-for-azeroth,9.0,110110752.0,120.0,1.0,3.0,Bigdaddytank,stormrage,60.0
30,Alliance,mercenaries-for-azeroth,5.0,110110916.0,120.0,3.0,4.0,Bigdaddyhunt,stormrage,60.0
31,Alliance,mercenaries-for-azeroth,9.0,110110952.0,120.0,4.0,4.0,Bigdaddygank,stormrage,60.0
32,Alliance,mercenaries-for-azeroth,5.0,110110967.0,120.0,2.0,11.0,Rightousfury,stormrage,60.0
33,Alliance,mercenaries-for-azeroth,5.0,111073420.0,120.0,1.0,3.0,Mereed,stormrage,60.0
34,Alliance,mercenaries-for-azeroth,5.0,111700186.0,120.0,10.0,25.0,Jaguan,stormrage,60.0
35,Alliance,mercenaries-for-azeroth,9.0,111729299.0,90.0,11.0,4.0,Maeev,stormrage,60.0
36,Alliance,mercenaries-for-azeroth,5.0,112063698.0,120.0,6.0,1.0,Lansa,stormrage,60.0
37,Alliance,mercenaries-for-azeroth,5.0,112369782.0,120.0,10.0,25.0,Furryreed,stormrage,60.0
38,Alliance,mercenaries-for-azeroth,5.0,112771111.0,120.0,1.0,25.0,Pemul,stormrage,60.0
39,Alliance,mercenaries-for-azeroth,9.0,112912057.0,120.0,4.0,1.0,Selendrial,stormrage,60.0
40,Alliance,mercenaries-for-azeroth,9.0,113358732.0,120.0,1.0,7.0,Smashyface,stormrage,60.0
41,Alliance,mercenaries-for-azeroth,5.0,113595108.0,120.0,11.0,4.0,Kazane,stormrage,60.0
42,Alliance,mercenaries-for-azeroth,9.0,113868841.0,120.0,6.0,1.0,Bennychains,stormrage,60.0
43,Alliance,mercenaries-for-azeroth,3.0,114025863.0,120.0,11.0,22.0,Chemo,stormrage,60.0
44,Alliance,mercenaries-for-azeroth,9.0,114034832.0,120.0,5.0,1.0,Nightwoven,stormrage,60.0
45,Alliance,mercenaries-for-azeroth,3.0,114156794.0,120.0,5.0,1.0,Emmessis,stormrage,60.0
46,Alliance,mercenaries-for-azeroth,5.0,114221322.0,120.0,8.0,1.0,Magicshooter,stormrage,60.0
47,Alliance,mercenaries-for-azeroth,5.0,114900846.0,120.0,10.0,25.0,Safonda,stormrage,60.0
48,Alliance,mercenaries-for-azeroth,3.0,114905049.0,120.0,7.0,11.0,Mastapunt,stormrage,60.0
49,Alliance,mercenaries-for-azeroth,4.0,114924431.0,120.0,6.0,4.0,Puntter,stormrage,60.0
50,Alliance,mercenaries-for-azeroth,5.0,114990508.0,120.0,2.0,1.0,Ethric,stormrage,60.0
51,Alliance,mercenaries-for-azeroth,5.0,115033709.0,120.0,11.0,4.0,Bioplasm,stormrage,60.0
52,Alliance,mercenaries-for-azeroth,5.0,115077579.0,112.0,11.0,4.0,Blossym,stormrage,60.0
53,Alliance,mercenaries-for-azeroth,2.0,115388491.0,120.0,6.0,1.0,Dàrci,stormrage,60.0
54,Alliance,mercenaries-for-azeroth,5.0,115746962.0,110.0,10.0,25.0,Mopes,stormrage,60.0
55,Alliance,mercenaries-for-azeroth,5.0,116246746.0,120.0,9.0,7.0,Erlande,stormrage,60.0
56,Alliance,mercenaries-for-azeroth,5.0,116384204.0,120.0,11.0,22.0,Ydnarnam,stormrage,60.0
57,Alliance,mercenaries-for-azeroth,9.0,116747335.0,113.0,7.0,3.0,Abél,stormrage,60.0
58,Alliance,mercenaries-for-azeroth,5.0,116943057.0,120.0,9.0,22.0,Doomlordo,stormrage,60.0
59,Alliance,mercenaries-for-azeroth,3.0,116998567.0,120.0,7.0,11.0,Möejöjöjö,stormrage,60.0
60,Alliance,mercenaries-for-azeroth,5.0,118424790.0,120.0,6.0,22.0,Pandores,stormrage,60.0
61,Alliance,mercenaries-for-azeroth,2.0,120418731.0,120.0,3.0,3.0,Kalixr,stormrage,60.0
62,Alliance,mercenaries-for-azeroth,5.0,122484155.0,120.0,5.0,1.0,Myrden,stormrage,60.0
63,Alliance,mercenaries-for-azeroth,9.0,124168390.0,120.0,8.0,7.0,Sinattra,stormrage,60.0
64,Alliance,mercenaries-for-azeroth,5.0,124479632.0,120.0,7.0,11.0,Gowthor,stormrage,60.0
