,faction,guild_name,guild_rank,id,level,playable_class,playable_race,player,realm,realm_id
0,Alliance,betrayal,8.0,27867627.0,120.0,11.0,4.0,Liliana,frostmourne,3725.0
1,Alliance,betrayal,8.0,106808679.0,110.0,4.0,1.0,Vampêr,frostmourne,3725.0
2,Alliance,betrayal,8.0,108126625.0,120.0,5.0,29.0,Asomari,frostmourne,3725.0
3,Alliance,betrayal,8.0,108779281.0,120.0,6.0,1.0,Sharkweek,frostmourne,3725.0
4,Alliance,betrayal,8.0,108844782.0,120.0,11.0,4.0,Bewmkin,frostmourne,3725.0
5,Alliance,betrayal,4.0,110360976.0,120.0,11.0,4.0,Elethaze,frostmourne,3725.0
6,Alliance,betrayal,8.0,110581007.0,120.0,4.0,22.0,Robinyou,frostmourne,3725.0
7,Alliance,betrayal,8.0,110601455.0,120.0,11.0,4.0,Balbaghdad,frostmourne,3725.0
8,Alliance,betrayal,5.0,112989511.0,120.0,9.0,34.0,Lockael,frostmourne,3725.0
9,Alliance,betrayal,2.0,113498145.0,120.0,8.0,4.0,Azzamagé,frostmourne,3725.0
10,Alliance,betrayal,2.0,113707380.0,103.0,3.0,4.0,Ázzahunter,frostmourne,3725.0
11,Alliance,betrayal,1.0,113707622.0,120.0,11.0,4.0,Azzadruid,frostmourne,3725.0
12,Alliance,betrayal,8.0,113862701.0,120.0,2.0,1.0,Bnkymcbnkfce,frostmourne,3725.0
13,Alliance,betrayal,2.0,113883088.0,114.0,5.0,1.0,Ázzapriest,frostmourne,3725.0
14,Alliance,betrayal,6.0,114047376.0,110.0,4.0,4.0,Ázzarogue,frostmourne,3725.0
15,Alliance,betrayal,6.0,114321459.0,110.0,7.0,3.0,Azzashammy,frostmourne,3725.0
16,Alliance,betrayal,2.0,115409055.0,120.0,7.0,32.0,Eppendorf,frostmourne,3725.0
17,Alliance,betrayal,8.0,116765789.0,116.0,6.0,1.0,Fokkinprawn,frostmourne,3725.0
18,Alliance,betrayal,2.0,117083981.0,120.0,2.0,1.0,Phenomenex,frostmourne,3725.0
19,Alliance,betrayal,8.0,117121970.0,120.0,1.0,4.0,Taivis,frostmourne,3725.0
20,Alliance,betrayal,2.0,117257361.0,120.0,3.0,1.0,Zearalenone,frostmourne,3725.0
21,Alliance,betrayal,8.0,117377337.0,120.0,5.0,1.0,Nymphorah,frostmourne,3725.0
22,Alliance,betrayal,2.0,117510614.0,120.0,4.0,3.0,Aflatoxin,frostmourne,3725.0
23,Alliance,betrayal,8.0,117826910.0,120.0,9.0,34.0,Guldanshower,frostmourne,3725.0
24,Alliance,betrayal,2.0,118419373.0,120.0,5.0,7.0,Emirée,frostmourne,3725.0
25,Alliance,betrayal,2.0,118552599.0,120.0,6.0,11.0,Nereistoxin,frostmourne,3725.0
26,Alliance,betrayal,9.0,118635890.0,120.0,2.0,3.0,Fierbras,frostmourne,3725.0
27,Alliance,betrayal,6.0,119953694.0,120.0,9.0,1.0,ßleex,frostmourne,3725.0
28,Alliance,betrayal,0.0,120375839.0,120.0,2.0,1.0,Toshinokyoko,frostmourne,3725.0
29,Alliance,betrayal,2.0,120382236.0,110.0,9.0,1.0,Vallex,frostmourne,3725.0
30,Alliance,betrayal,2.0,120546115.0,120.0,3.0,1.0,Akarin,frostmourne,3725.0
31,Alliance,betrayal,8.0,121697841.0,111.0,10.0,25.0,Hknamonktata,frostmourne,3725.0
32,Alliance,betrayal,6.0,121725521.0,120.0,10.0,29.0,Baetrayer,frostmourne,3725.0
33,Alliance,betrayal,2.0,121884317.0,120.0,10.0,7.0,Ergot,frostmourne,3725.0
34,Alliance,betrayal,8.0,121969152.0,120.0,1.0,22.0,Solemly,frostmourne,3725.0
35,Alliance,betrayal,2.0,123382006.0,120.0,1.0,1.0,Azaki,frostmourne,3725.0
36,Alliance,betrayal,6.0,124262378.0,120.0,5.0,1.0,Saethlyn,frostmourne,3725.0
37,Alliance,betrayal,8.0,128203774.0,120.0,11.0,22.0,Hellsavenger,frostmourne,3725.0
38,Alliance,betrayal,8.0,128855258.0,120.0,8.0,3.0,Richu,frostmourne,3725.0
39,Alliance,betrayal,2.0,129950491.0,120.0,6.0,1.0,Haqua,frostmourne,3725.0
40,Alliance,betrayal,8.0,130681108.0,120.0,5.0,22.0,Velvetine,frostmourne,3725.0
41,Alliance,betrayal,8.0,130853890.0,120.0,7.0,11.0,Knoxxy,frostmourne,3725.0
42,Alliance,betrayal,6.0,132301272.0,74.0,5.0,4.0,Babydrowner,frostmourne,3725.0
43,Alliance,betrayal,6.0,133355020.0,120.0,5.0,37.0,ßleekz,frostmourne,3725.0
44,Alliance,betrayal,6.0,133384419.0,120.0,7.0,3.0,Shameman,frostmourne,3725.0
45,Alliance,betrayal,8.0,133647577.0,120.0,1.0,29.0,Apax,frostmourne,3725.0
46,Alliance,betrayal,8.0,143792448.0,120.0,8.0,4.0,Navìì,frostmourne,3725.0
