,faction,guild_name,guild_rank,id,level,playable_class,playable_race,player,realm,realm_id
0,Horde,tactical-omission,2.0,3314275.0,110.0,11.0,6.0,Duon,zuljin,61.0
1,Horde,tactical-omission,3.0,3317012.0,21.0,9.0,5.0,Circuit,zuljin,61.0
2,Horde,tactical-omission,0.0,100409072.0,120.0,8.0,9.0,Qarrion,zuljin,61.0
3,Horde,tactical-omission,2.0,100419964.0,53.0,3.0,9.0,Graveson,zuljin,61.0
4,Horde,tactical-omission,1.0,100458090.0,120.0,11.0,6.0,Alrait,zuljin,61.0
5,Horde,tactical-omission,2.0,100479340.0,3.0,5.0,8.0,Suliman,zuljin,61.0
6,Horde,tactical-omission,2.0,100552604.0,90.0,7.0,8.0,Alredi,zuljin,61.0
7,Horde,tactical-omission,2.0,100585855.0,54.0,4.0,2.0,Moilla,zuljin,61.0
8,Horde,tactical-omission,2.0,100585892.0,81.0,8.0,10.0,Lindesong,zuljin,61.0
9,Horde,tactical-omission,2.0,100690488.0,7.0,1.0,5.0,Wenimon,zuljin,61.0
10,Horde,tactical-omission,2.0,100781082.0,20.0,9.0,9.0,Ikena,zuljin,61.0
11,Horde,tactical-omission,2.0,101016953.0,11.0,5.0,10.0,Agrial,zuljin,61.0
12,Horde,tactical-omission,2.0,101017008.0,22.0,2.0,10.0,Andura,zuljin,61.0
13,Horde,tactical-omission,2.0,106412125.0,83.0,2.0,10.0,Khornate,zuljin,61.0
14,Horde,tactical-omission,1.0,106977824.0,114.0,5.0,9.0,Alabaz,zuljin,61.0
15,Horde,tactical-omission,1.0,106977915.0,114.0,2.0,10.0,Vynci,zuljin,61.0
16,Horde,tactical-omission,1.0,106978390.0,120.0,3.0,8.0,Jindrez,zuljin,61.0
17,Horde,tactical-omission,1.0,106979674.0,62.0,1.0,2.0,Dahkra,zuljin,61.0
18,Horde,tactical-omission,3.0,107321527.0,12.0,2.0,6.0,Todotha,zuljin,61.0
19,Horde,tactical-omission,3.0,107439866.0,31.0,10.0,26.0,Ixoh,zuljin,61.0
20,Horde,tactical-omission,1.0,107467895.0,120.0,10.0,26.0,Kuyo,zuljin,61.0
21,Horde,tactical-omission,1.0,107468179.0,64.0,7.0,26.0,Shihua,zuljin,61.0
22,Horde,tactical-omission,2.0,107929374.0,82.0,10.0,26.0,Tailen,zuljin,61.0
23,Horde,tactical-omission,1.0,107950432.0,120.0,4.0,5.0,Elsinore,zuljin,61.0
24,Horde,tactical-omission,3.0,109561244.0,18.0,7.0,9.0,Liquidaider,zuljin,61.0
25,Horde,tactical-omission,2.0,141020780.0,6.0,3.0,2.0,Hopterq,zuljin,61.0
26,Horde,tactical-omission,1.0,141562840.0,62.0,9.0,10.0,Orwen,zuljin,61.0
27,Horde,tactical-omission,2.0,142093082.0,110.0,3.0,10.0,Kalrien,zuljin,61.0
28,Horde,tactical-omission,1.0,142188681.0,114.0,6.0,5.0,Banqal,zuljin,61.0
29,Horde,tactical-omission,1.0,159894042.0,100.0,2.0,6.0,Cowpuns,zuljin,61.0
30,Horde,tactical-omission,2.0,160441009.0,16.0,8.0,26.0,Susat,zuljin,61.0
31,Horde,tactical-omission,2.0,173799475.0,100.0,3.0,5.0,Gricent,zuljin,61.0
32,Horde,tactical-omission,2.0,173820446.0,100.0,10.0,10.0,Keeiestik,zuljin,61.0
33,Horde,tactical-omission,2.0,173821261.0,43.0,9.0,5.0,Sylvanister,zuljin,61.0
34,Horde,tactical-omission,2.0,173826842.0,110.0,6.0,10.0,Mathathrelan,zuljin,61.0
35,Horde,tactical-omission,2.0,173920923.0,80.0,8.0,10.0,Rhegara,zuljin,61.0
36,Horde,tactical-omission,2.0,173938633.0,120.0,9.0,5.0,Doddinger,zuljin,61.0
37,Horde,tactical-omission,2.0,173941698.0,113.0,3.0,10.0,Krysephra,zuljin,61.0
38,Horde,tactical-omission,2.0,174021166.0,100.0,6.0,10.0,Aelinor,zuljin,61.0
39,Horde,tactical-omission,2.0,174093755.0,24.0,7.0,9.0,Xinddri,zuljin,61.0
40,Horde,tactical-omission,2.0,174132381.0,100.0,5.0,5.0,Melisandria,zuljin,61.0
41,Horde,tactical-omission,2.0,174410606.0,23.0,11.0,8.0,Vorkana,zuljin,61.0
42,Horde,tactical-omission,2.0,176080495.0,110.0,5.0,5.0,Zalost,zuljin,61.0
43,Horde,tactical-omission,2.0,176445575.0,120.0,2.0,10.0,Gienagon,zuljin,61.0
44,Horde,tactical-omission,2.0,177075854.0,74.0,9.0,9.0,Tixel,zuljin,61.0
45,Horde,tactical-omission,2.0,177170609.0,110.0,1.0,10.0,Noirtier,zuljin,61.0
46,Horde,tactical-omission,1.0,177771008.0,115.0,12.0,10.0,Saavedro,zuljin,61.0
47,Horde,tactical-omission,2.0,177798283.0,113.0,12.0,10.0,Tyolenis,zuljin,61.0
48,Horde,tactical-omission,2.0,178277157.0,115.0,12.0,10.0,Acalionia,zuljin,61.0
49,Horde,tactical-omission,2.0,178575749.0,100.0,12.0,10.0,Maelvanis,zuljin,61.0
50,Horde,tactical-omission,2.0,179896222.0,102.0,9.0,2.0,Krintaska,zuljin,61.0
51,Horde,tactical-omission,2.0,181251764.0,91.0,2.0,6.0,Chitddon,zuljin,61.0
52,Horde,tactical-omission,2.0,185559505.0,100.0,10.0,26.0,Yisun,zuljin,61.0
53,Horde,tactical-omission,4.0,187260737.0,8.0,11.0,8.0,Zerrai,zuljin,61.0
54,Horde,tactical-omission,4.0,196208366.0,68.0,1.0,27.0,Vierplande,zuljin,61.0
55,Horde,tactical-omission,4.0,196351321.0,115.0,4.0,27.0,Vierearn,zuljin,61.0
56,Horde,tactical-omission,4.0,200764386.0,20.0,1.0,36.0,Makhalka,zuljin,61.0
57,Horde,tactical-omission,2.0,208758416.0,20.0,4.0,35.0,Foxhead,zuljin,61.0
58,Alliance,remnants-of-the-fallen,9.0,9986580.0,48.0,5.0,3.0,Yugioh,detheroc,154.0
59,Alliance,remnants-of-the-fallen,9.0,11858349.0,66.0,5.0,11.0,Fayleen,detheroc,154.0
60,Alliance,remnants-of-the-fallen,9.0,78524401.0,46.0,7.0,3.0,Beamoran,detheroc,154.0
61,Alliance,remnants-of-the-fallen,7.0,100495690.0,120.0,8.0,1.0,Delerith,dethecus,81.0
62,Alliance,remnants-of-the-fallen,9.0,100499450.0,94.0,4.0,7.0,Niky,dethecus,81.0
63,Alliance,remnants-of-the-fallen,9.0,100644394.0,120.0,2.0,11.0,Erastia,dethecus,81.0
64,Alliance,remnants-of-the-fallen,7.0,100831494.0,120.0,6.0,1.0,Rayton,dethecus,81.0
65,Alliance,remnants-of-the-fallen,7.0,100891842.0,120.0,4.0,1.0,Lithless,dethecus,81.0
66,Alliance,remnants-of-the-fallen,9.0,100953296.0,120.0,8.0,7.0,Ryn,dethecus,81.0
67,Alliance,remnants-of-the-fallen,9.0,100973492.0,111.0,11.0,4.0,Skeye,dethecus,81.0
68,Alliance,remnants-of-the-fallen,7.0,100982817.0,120.0,2.0,1.0,Punduke,dethecus,81.0
69,Alliance,remnants-of-the-fallen,5.0,100986717.0,120.0,11.0,4.0,Aribeth,dethecus,81.0
70,Alliance,remnants-of-the-fallen,7.0,101007216.0,120.0,1.0,1.0,Immoen,dethecus,81.0
71,Alliance,remnants-of-the-fallen,7.0,101009987.0,120.0,5.0,1.0,Meharu,dethecus,81.0
72,Alliance,remnants-of-the-fallen,6.0,101019383.0,120.0,3.0,4.0,Tyrandë,dethecus,81.0
73,Alliance,remnants-of-the-fallen,7.0,101049462.0,120.0,10.0,1.0,Chadlow,dethecus,81.0
74,Alliance,remnants-of-the-fallen,7.0,101064058.0,120.0,11.0,4.0,Harmonic,dethecus,81.0
75,Alliance,remnants-of-the-fallen,7.0,101677294.0,120.0,11.0,4.0,Felleana,blackwing-lair,1296.0
76,Alliance,remnants-of-the-fallen,7.0,101770720.0,120.0,6.0,22.0,Antideluvian,blackwing-lair,1296.0
77,Alliance,remnants-of-the-fallen,9.0,101809371.0,60.0,1.0,1.0,Artvandelay,blackwing-lair,1296.0
78,Alliance,remnants-of-the-fallen,9.0,101854371.0,120.0,2.0,1.0,Seylis,blackwing-lair,1296.0
79,Alliance,remnants-of-the-fallen,7.0,101883688.0,120.0,3.0,11.0,Gyla,blackwing-lair,1296.0
80,Alliance,remnants-of-the-fallen,7.0,101883849.0,110.0,11.0,22.0,Laffeita,blackwing-lair,1296.0
81,Alliance,remnants-of-the-fallen,6.0,101884506.0,120.0,8.0,11.0,Aymie,blackwing-lair,1296.0
82,Alliance,remnants-of-the-fallen,7.0,101939552.0,110.0,9.0,1.0,Condor,haomarush,1266.0
83,Alliance,remnants-of-the-fallen,9.0,102138305.0,86.0,8.0,11.0,Donkillme,haomarush,1266.0
84,Alliance,remnants-of-the-fallen,9.0,102202875.0,100.0,1.0,1.0,Zanfare,haomarush,1266.0
85,Alliance,remnants-of-the-fallen,7.0,102385642.0,120.0,11.0,4.0,Blacktiger,haomarush,1266.0
86,Alliance,remnants-of-the-fallen,9.0,103822683.0,116.0,3.0,7.0,Larlia,lethon,1295.0
87,Alliance,remnants-of-the-fallen,7.0,104034916.0,120.0,7.0,11.0,Phink,lethon,1295.0
88,Alliance,remnants-of-the-fallen,9.0,104072948.0,120.0,6.0,4.0,Blindbeggar,lethon,1295.0
89,Alliance,remnants-of-the-fallen,9.0,104185945.0,120.0,9.0,22.0,Grimclaw,lethon,1295.0
90,Alliance,remnants-of-the-fallen,7.0,104215152.0,120.0,8.0,11.0,Ophërity,lethon,1295.0
91,Alliance,remnants-of-the-fallen,7.0,104216242.0,120.0,2.0,11.0,Pallä,lethon,1295.0
92,Alliance,remnants-of-the-fallen,6.0,104265060.0,120.0,3.0,11.0,Llynn,lethon,1295.0
93,Alliance,remnants-of-the-fallen,7.0,104267497.0,120.0,10.0,11.0,Sonä,lethon,1295.0
94,Alliance,remnants-of-the-fallen,7.0,104290292.0,120.0,1.0,1.0,Warsnake,lethon,1295.0
