,faction,guild_name,guild_rank,id,level,playable_class,playable_race,player,realm,realm_id
0,Alliance,dragon-knight,6.0,831293.0,120.0,1.0,1.0,Aarchaon,bloodscalp,119.0
1,Alliance,dragon-knight,6.0,1042196.0,120.0,9.0,1.0,Kahan,bloodscalp,119.0
2,Alliance,dragon-knight,6.0,1342093.0,120.0,11.0,4.0,Kelek,bloodscalp,119.0
3,Alliance,dragon-knight,6.0,27994074.0,120.0,2.0,1.0,Anderson,bloodscalp,119.0
4,Alliance,dragon-knight,7.0,50059843.0,120.0,8.0,1.0,Hypherion,bloodscalp,119.0
5,Alliance,dragon-knight,5.0,71144450.0,120.0,2.0,30.0,Justinia,bloodscalp,119.0
6,Alliance,dragon-knight,5.0,82220278.0,120.0,11.0,22.0,Grief,bloodscalp,119.0
7,Alliance,dragon-knight,5.0,83854607.0,120.0,6.0,1.0,Casaubon,bloodscalp,119.0
8,Alliance,dragon-knight,1.0,85243667.0,90.0,1.0,7.0,Mertibby,boulderfist,112.0
9,Alliance,dragon-knight,7.0,85246484.0,120.0,9.0,1.0,Impudent,boulderfist,112.0
10,Alliance,dragon-knight,3.0,85256591.0,100.0,5.0,4.0,Ezrah,boulderfist,112.0
11,Alliance,dragon-knight,6.0,85267928.0,120.0,1.0,3.0,Bottlerocket,boulderfist,112.0
12,Alliance,dragon-knight,3.0,85267960.0,120.0,5.0,4.0,Blackbutte,boulderfist,112.0
13,Alliance,dragon-knight,7.0,85267980.0,120.0,9.0,7.0,Mtdew,boulderfist,112.0
14,Alliance,dragon-knight,6.0,85268005.0,120.0,11.0,4.0,Makitas,boulderfist,112.0
15,Alliance,dragon-knight,7.0,85268020.0,120.0,2.0,11.0,Letrask,boulderfist,112.0
16,Alliance,dragon-knight,7.0,85268035.0,120.0,6.0,7.0,Deschutes,boulderfist,112.0
17,Alliance,dragon-knight,6.0,85316931.0,116.0,11.0,4.0,Luminary,boulderfist,112.0
18,Alliance,dragon-knight,6.0,85322375.0,110.0,8.0,1.0,Kainqt,boulderfist,112.0
19,Alliance,dragon-knight,6.0,85324026.0,110.0,5.0,25.0,Jabo,boulderfist,112.0
20,Alliance,dragon-knight,7.0,85328271.0,120.0,7.0,11.0,Anariya,boulderfist,112.0
21,Alliance,dragon-knight,5.0,85328284.0,120.0,2.0,1.0,Divinia,boulderfist,112.0
22,Alliance,dragon-knight,6.0,85328303.0,120.0,9.0,29.0,Morganna,boulderfist,112.0
23,Alliance,dragon-knight,6.0,85328317.0,110.0,8.0,1.0,Serintegra,boulderfist,112.0
24,Alliance,dragon-knight,3.0,85342211.0,110.0,6.0,11.0,Darthmish,boulderfist,112.0
25,Alliance,dragon-knight,6.0,85348241.0,120.0,4.0,4.0,Fira,boulderfist,112.0
26,Alliance,dragon-knight,6.0,85374119.0,120.0,5.0,11.0,Zerika,boulderfist,112.0
27,Alliance,dragon-knight,6.0,85378918.0,120.0,8.0,1.0,Mayge,boulderfist,112.0
28,Alliance,dragon-knight,6.0,85389984.0,100.0,4.0,4.0,Naul,boulderfist,112.0
29,Alliance,dragon-knight,6.0,85390050.0,110.0,6.0,4.0,Dgenerit,boulderfist,112.0
30,Alliance,dragon-knight,7.0,85411969.0,120.0,7.0,11.0,Vishnnu,boulderfist,112.0
31,Alliance,dragon-knight,6.0,85420954.0,120.0,11.0,22.0,Sylast,boulderfist,112.0
32,Alliance,dragon-knight,7.0,85427482.0,120.0,6.0,22.0,Mithrem,boulderfist,112.0
33,Alliance,dragon-knight,3.0,85435424.0,120.0,3.0,4.0,Kthxbye,boulderfist,112.0
34,Alliance,dragon-knight,6.0,85458184.0,110.0,8.0,7.0,Belize,boulderfist,112.0
35,Alliance,dragon-knight,6.0,85475548.0,120.0,7.0,3.0,Kooz,boulderfist,112.0
36,Alliance,dragon-knight,6.0,85480273.0,90.0,6.0,22.0,Gyllenhal,boulderfist,112.0
37,Alliance,dragon-knight,7.0,85484239.0,120.0,3.0,4.0,Kortos,boulderfist,112.0
38,Alliance,dragon-knight,6.0,85495608.0,120.0,8.0,7.0,Dizfactor,boulderfist,112.0
39,Alliance,dragon-knight,1.0,85515095.0,120.0,9.0,1.0,Dáemon,boulderfist,112.0
40,Alliance,dragon-knight,2.0,85515148.0,120.0,2.0,3.0,Coruncles,boulderfist,112.0
41,Alliance,dragon-knight,1.0,85515170.0,120.0,6.0,11.0,Meurtríer,boulderfist,112.0
42,Alliance,dragon-knight,6.0,85518593.0,100.0,1.0,3.0,Dahknisz,boulderfist,112.0
43,Alliance,dragon-knight,6.0,85518618.0,100.0,5.0,3.0,Guestone,boulderfist,112.0
44,Alliance,dragon-knight,6.0,85523728.0,110.0,2.0,1.0,Wewtman,boulderfist,112.0
45,Alliance,dragon-knight,6.0,85525550.0,101.0,2.0,3.0,Juanito,boulderfist,112.0
46,Alliance,dragon-knight,6.0,85556209.0,120.0,9.0,1.0,Brande,boulderfist,112.0
47,Alliance,dragon-knight,1.0,85559887.0,120.0,8.0,7.0,Kreepypwner,boulderfist,112.0
48,Alliance,dragon-knight,7.0,85577585.0,120.0,2.0,1.0,Beatrìx,boulderfist,112.0
49,Alliance,dragon-knight,6.0,85587263.0,120.0,2.0,1.0,Nekadar,boulderfist,112.0
50,Alliance,dragon-knight,6.0,85601955.0,120.0,3.0,4.0,Doomsmark,boulderfist,112.0
51,Alliance,dragon-knight,3.0,85612045.0,120.0,9.0,1.0,Jackshepherd,boulderfist,112.0
52,Alliance,dragon-knight,3.0,85612057.0,120.0,11.0,4.0,Jaykwon,boulderfist,112.0
53,Alliance,dragon-knight,3.0,85612106.0,120.0,6.0,1.0,Slashtaze,boulderfist,112.0
54,Alliance,dragon-knight,1.0,85643225.0,120.0,4.0,1.0,Persuasion,boulderfist,112.0
55,Alliance,dragon-knight,6.0,85683268.0,120.0,11.0,4.0,Lucatiel,boulderfist,112.0
56,Alliance,dragon-knight,7.0,85690995.0,120.0,7.0,11.0,Toastý,boulderfist,112.0
57,Alliance,dragon-knight,7.0,85718231.0,120.0,9.0,22.0,Diabloshand,boulderfist,112.0
58,Alliance,dragon-knight,7.0,85767528.0,95.0,7.0,11.0,Vvnqt,boulderfist,112.0
59,Alliance,dragon-knight,6.0,85809187.0,100.0,9.0,1.0,Skalaja,boulderfist,112.0
60,Alliance,dragon-knight,6.0,85819257.0,120.0,2.0,1.0,Holystanio,boulderfist,112.0
61,Alliance,dragon-knight,6.0,85824871.0,120.0,11.0,4.0,Celorius,boulderfist,112.0
62,Alliance,dragon-knight,6.0,85832479.0,120.0,3.0,4.0,Errol,boulderfist,112.0
63,Alliance,dragon-knight,6.0,85852994.0,110.0,4.0,1.0,Dynä,boulderfist,112.0
64,Alliance,dragon-knight,6.0,85868202.0,86.0,8.0,7.0,Schmøejøe,boulderfist,112.0
65,Alliance,dragon-knight,7.0,85875203.0,110.0,1.0,1.0,Ilyn,boulderfist,112.0
66,Alliance,dragon-knight,6.0,85884826.0,120.0,5.0,29.0,Celessii,boulderfist,112.0
67,Alliance,dragon-knight,6.0,85889625.0,120.0,3.0,4.0,Attewode,boulderfist,112.0
68,Alliance,dragon-knight,6.0,85896261.0,90.0,2.0,11.0,Resurgence,boulderfist,112.0
69,Alliance,dragon-knight,6.0,85900504.0,110.0,7.0,11.0,Cimba,boulderfist,112.0
70,Alliance,dragon-knight,6.0,85911666.0,110.0,7.0,11.0,Dhrana,boulderfist,112.0
71,Alliance,dragon-knight,6.0,85916899.0,120.0,1.0,34.0,Autoris,boulderfist,112.0
72,Alliance,dragon-knight,6.0,86185136.0,110.0,2.0,1.0,Wbush,boulderfist,112.0
73,Alliance,dragon-knight,6.0,86209956.0,120.0,10.0,1.0,Taeo,boulderfist,112.0
74,Alliance,dragon-knight,3.0,86217059.0,120.0,8.0,22.0,Dero,boulderfist,112.0
75,Alliance,dragon-knight,6.0,86222076.0,120.0,10.0,25.0,Yubol,boulderfist,112.0
76,Alliance,dragon-knight,6.0,86222398.0,120.0,9.0,1.0,Jemhdar,boulderfist,112.0
77,Alliance,dragon-knight,1.0,86229411.0,111.0,11.0,4.0,Shelbear,boulderfist,112.0
78,Alliance,dragon-knight,6.0,86235046.0,120.0,4.0,7.0,Junglelove,boulderfist,112.0
79,Alliance,dragon-knight,6.0,86235371.0,110.0,11.0,4.0,Symbol,boulderfist,112.0
80,Alliance,dragon-knight,6.0,86237469.0,120.0,9.0,1.0,Xxanisari,boulderfist,112.0
81,Alliance,dragon-knight,6.0,86240348.0,120.0,1.0,7.0,Cogs,boulderfist,112.0
82,Alliance,dragon-knight,6.0,86243616.0,120.0,2.0,1.0,Broran,boulderfist,112.0
83,Alliance,dragon-knight,7.0,86245240.0,120.0,8.0,7.0,Eryr,boulderfist,112.0
84,Alliance,dragon-knight,2.0,86245282.0,80.0,3.0,22.0,Rook,boulderfist,112.0
85,Alliance,dragon-knight,1.0,86249371.0,120.0,7.0,3.0,Climber,boulderfist,112.0
86,Alliance,dragon-knight,6.0,86251782.0,120.0,5.0,22.0,Nenno,boulderfist,112.0
87,Alliance,dragon-knight,6.0,86252103.0,120.0,8.0,7.0,Jonstrange,boulderfist,112.0
88,Alliance,dragon-knight,6.0,86253328.0,120.0,4.0,4.0,Cuddlycrits,boulderfist,112.0
89,Alliance,dragon-knight,7.0,86260372.0,120.0,9.0,7.0,Ark,boulderfist,112.0
90,Alliance,dragon-knight,1.0,86278865.0,120.0,7.0,11.0,Draenopwnage,boulderfist,112.0
91,Alliance,dragon-knight,7.0,86282887.0,120.0,7.0,11.0,Shammykiller,boulderfist,112.0
92,Alliance,dragon-knight,5.0,86283615.0,120.0,11.0,4.0,Eriese,boulderfist,112.0
93,Alliance,dragon-knight,6.0,86285204.0,120.0,10.0,25.0,Daigui,boulderfist,112.0
94,Alliance,dragon-knight,7.0,86287083.0,120.0,4.0,4.0,Luris,boulderfist,112.0
95,Alliance,dragon-knight,6.0,86291372.0,120.0,3.0,1.0,Robots,boulderfist,112.0
96,Alliance,dragon-knight,6.0,86291513.0,120.0,4.0,29.0,Satoru,boulderfist,112.0
97,Alliance,dragon-knight,1.0,86296368.0,120.0,10.0,11.0,Atrampstamp,boulderfist,112.0
98,Alliance,dragon-knight,3.0,86299229.0,120.0,4.0,4.0,Jackshephard,boulderfist,112.0
99,Alliance,dragon-knight,6.0,86299949.0,120.0,5.0,1.0,Kayzersoze,boulderfist,112.0
100,Alliance,dragon-knight,3.0,86300426.0,120.0,3.0,3.0,Sîmplejack,boulderfist,112.0
