,faction,guild_name,guild_rank,id,level,playable_class,playable_race,player,realm,realm_id
0,Alliance,zeroes-to-heroes,4.0,3275012.0,120.0,3.0,4.0,Jasperia,stormrage,60.0
1,Alliance,zeroes-to-heroes,4.0,3832845.0,120.0,11.0,4.0,Kse,stormrage,60.0
2,Alliance,zeroes-to-heroes,4.0,27498114.0,120.0,8.0,1.0,Wamage,stormrage,60.0
3,Alliance,zeroes-to-heroes,4.0,29443184.0,120.0,2.0,1.0,Nevial,stormrage,60.0
4,Alliance,zeroes-to-heroes,4.0,34336401.0,120.0,3.0,11.0,Punctuation,stormrage,60.0
5,Alliance,zeroes-to-heroes,4.0,74678859.0,120.0,2.0,11.0,Liltoalla,stormrage,60.0
6,Alliance,zeroes-to-heroes,5.0,81678264.0,120.0,2.0,1.0,Hatiez,stormrage,60.0
7,Alliance,zeroes-to-heroes,4.0,83857461.0,120.0,2.0,3.0,Brogdan,stormrage,60.0
8,Alliance,zeroes-to-heroes,5.0,83859598.0,120.0,5.0,1.0,Sandreyna,stormrage,60.0
9,Alliance,zeroes-to-heroes,4.0,86521312.0,120.0,5.0,4.0,Alloria,stormrage,60.0
10,Alliance,zeroes-to-heroes,5.0,86598100.0,120.0,2.0,1.0,Aedel,stormrage,60.0
11,Alliance,zeroes-to-heroes,5.0,88370400.0,120.0,6.0,1.0,Myzerý,stormrage,60.0
12,Alliance,zeroes-to-heroes,4.0,93996984.0,120.0,11.0,4.0,Oldsalty,stormrage,60.0
13,Alliance,zeroes-to-heroes,4.0,94448467.0,120.0,8.0,11.0,Fyremane,stormrage,60.0
14,Alliance,zeroes-to-heroes,5.0,95802684.0,120.0,3.0,4.0,Lightone,stormrage,60.0
15,Alliance,zeroes-to-heroes,5.0,97459788.0,120.0,3.0,3.0,Haldïr,stormrage,60.0
16,Alliance,zeroes-to-heroes,4.0,99756216.0,120.0,11.0,4.0,Ariahot,stormrage,60.0
17,Alliance,zeroes-to-heroes,4.0,101981332.0,120.0,11.0,4.0,Komahiah,stormrage,60.0
18,Alliance,zeroes-to-heroes,7.0,102481055.0,120.0,2.0,34.0,Epicret,stormrage,60.0
