,faction,guild_name,guild_rank,id,level,playable_class,playable_race,player,realm,realm_id
0,Alliance,stressed-out,8.0,2201158.0,120.0,8.0,1.0,Versentic,proudmoore,5.0
1,Alliance,stressed-out,8.0,56882864.0,120.0,6.0,11.0,Unholyhell,proudmoore,5.0
2,Alliance,stressed-out,9.0,90722745.0,120.0,3.0,4.0,Wilmont,proudmoore,5.0
3,Alliance,stressed-out,8.0,112575534.0,120.0,2.0,1.0,Mdmfireball,proudmoore,5.0
4,Alliance,stressed-out,8.0,118523368.0,120.0,8.0,1.0,Mabruk,proudmoore,5.0
5,Alliance,stressed-out,8.0,120340631.0,120.0,6.0,22.0,Dartarn,proudmoore,5.0
6,Alliance,stressed-out,9.0,122940655.0,120.0,10.0,1.0,Jooquian,proudmoore,5.0
7,Alliance,stressed-out,8.0,126074466.0,120.0,11.0,4.0,Inpillform,proudmoore,5.0
8,Alliance,stressed-out,9.0,128055062.0,107.0,1.0,11.0,Snollygoster,proudmoore,5.0
9,Alliance,stressed-out,6.0,130083385.0,120.0,3.0,3.0,Psykoshot,proudmoore,5.0
10,Alliance,stressed-out,8.0,130562289.0,120.0,8.0,7.0,Minicaster,proudmoore,5.0
11,Alliance,stressed-out,8.0,130920984.0,120.0,11.0,4.0,Hippiebeer,proudmoore,5.0
12,Alliance,stressed-out,8.0,130951842.0,120.0,4.0,4.0,Ovz,proudmoore,5.0
13,Alliance,stressed-out,8.0,131081194.0,120.0,9.0,29.0,Gargamale,proudmoore,5.0
14,Alliance,stressed-out,7.0,131081242.0,120.0,1.0,34.0,Destructamo,proudmoore,5.0
15,Alliance,stressed-out,9.0,131093015.0,120.0,5.0,11.0,Pappanerf,proudmoore,5.0
16,Alliance,stressed-out,8.0,131093314.0,120.0,4.0,4.0,Spinebuster,proudmoore,5.0
17,Alliance,stressed-out,8.0,131473551.0,120.0,6.0,1.0,Snotflicker,proudmoore,5.0
18,Alliance,stressed-out,8.0,131802798.0,120.0,1.0,4.0,Skyflame,proudmoore,5.0
19,Alliance,stressed-out,8.0,133878452.0,120.0,2.0,1.0,Jollymar,proudmoore,5.0
20,Alliance,stressed-out,8.0,134195470.0,120.0,3.0,1.0,Ælize,proudmoore,5.0
21,Alliance,stressed-out,2.0,137087735.0,120.0,2.0,3.0,Grôgnárd,proudmoore,5.0
22,Alliance,stressed-out,8.0,138295792.0,120.0,3.0,11.0,Snotgun,proudmoore,5.0
23,Alliance,stressed-out,9.0,138535711.0,120.0,4.0,4.0,Kidneytheif,proudmoore,5.0
24,Alliance,stressed-out,9.0,139281609.0,120.0,2.0,3.0,Modinbal,proudmoore,5.0
25,Alliance,stressed-out,9.0,140320835.0,120.0,10.0,1.0,Bigpimpinn,proudmoore,5.0
26,Alliance,stressed-out,4.0,141699459.0,120.0,5.0,25.0,Squims,proudmoore,5.0
27,Alliance,stressed-out,2.0,143860404.0,120.0,10.0,29.0,Squiblette,proudmoore,5.0
