,faction,guild_name,guild_rank,id,level,playable_class,playable_race,player,realm,realm_id
0,Alliance,shadow-knights,4.0,54285802.0,120.0,11.0,4.0,Barkus,silvermoon,86.0
1,Alliance,shadow-knights,4.0,67036600.0,120.0,8.0,1.0,Joroshi,silvermoon,86.0
2,Alliance,shadow-knights,3.0,98075228.0,112.0,1.0,1.0,Tardre,moknathal,1374.0
3,Alliance,shadow-knights,2.0,98112579.0,120.0,3.0,4.0,Jojodancer,moknathal,1374.0
4,Alliance,shadow-knights,9.0,98121801.0,110.0,3.0,3.0,Guilderbash,moknathal,1374.0
5,Alliance,shadow-knights,4.0,98179530.0,110.0,4.0,7.0,Shankalishus,moknathal,1374.0
6,Alliance,shadow-knights,3.0,98197016.0,120.0,4.0,1.0,Drizzitizzit,moknathal,1374.0
7,Alliance,shadow-knights,4.0,98243851.0,120.0,3.0,3.0,Carcarnein,moknathal,1374.0
8,Alliance,shadow-knights,5.0,98245793.0,110.0,8.0,7.0,Frostboltzz,moknathal,1374.0
9,Alliance,shadow-knights,6.0,98269072.0,120.0,9.0,1.0,Caia,moknathal,1374.0
10,Alliance,shadow-knights,3.0,98296396.0,120.0,6.0,4.0,Nochemuerte,moknathal,1374.0
11,Alliance,shadow-knights,9.0,98304887.0,90.0,5.0,1.0,Cathlick,moknathal,1374.0
12,Alliance,shadow-knights,2.0,98321209.0,120.0,1.0,1.0,Chillywillie,moknathal,1374.0
13,Alliance,shadow-knights,4.0,98336018.0,120.0,1.0,3.0,Aragongreat,moknathal,1374.0
14,Alliance,shadow-knights,1.0,98351432.0,110.0,6.0,1.0,Vaenyra,moknathal,1374.0
15,Alliance,shadow-knights,3.0,98351903.0,120.0,7.0,11.0,Totemkill,moknathal,1374.0
16,Alliance,shadow-knights,1.0,98354809.0,110.0,7.0,11.0,Naemira,moknathal,1374.0
17,Alliance,shadow-knights,2.0,98362256.0,110.0,6.0,4.0,Tanucker,moknathal,1374.0
18,Alliance,shadow-knights,3.0,98363985.0,117.0,11.0,4.0,Somedruid,moknathal,1374.0
