"85.0","","Youkeyoh","Angry","US-Illidan","32730.0"
"86.0","","Linath","Battle Kittens","US-Sargeras","32705.0"
"87.0","","Licks","The Blood Council","US-Illidan","32700.0"
"87.0","","Scissorz","Valhalas","US-Hyjal","32700.0"
"89.0","","Sinin","Celestials","US-Kel'Thuzad","32685.0"
"90.0","","Tirnina","GSG","US-Proudmoore","32680.0"
"91.0","","Stratokvn","","US-Ragnaros","32655.0"
"92.0","","Bidish","I M A G I N E","US-Area 52","32645.0"
"93.0","","Ogradá","Ograda Horde","US-Azralon","32635.0"
"94.0","","Kittanya","Rally","US-Dalaran","32615.0"
"94.0","","Skatejawn","Unlucky","US-Illidan","32615.0"
"96.0","","Elvenheart","Chupacabra","US-Stormreaver","32595.0"
"97.0","","Onitenshi","Pleblords","US-Stormscale","32560.0"
"97.0","","Tessorak","Tis But A Scratch","US-Sargeras","32560.0"
"97.0","","Calesta","Coven","US-Vek'nilash","32560.0"
"100.0","","Alogagain","Phalanx","US-Saurfang","32550.0"
"101.0","","Traw","SCH","US-Bleeding Hollow","32545.0"
"102.0","","Tinyhotdot","Get Well Soon","US-Sargeras","32540.0"
"103.0","","Athenà","","US-Azralon","32525.0"
"104.0","","Czaafum","Resistance","US-Hyjal","32520.0"
"105.0","","Korrant","RUINOUS","US-Stormrage","32510.0"
"105.0","","Aeriane","Keep Calm","US-Spirestone","32510.0"
"105.0","","Suzumiyaharu","Demogorgon","US-Tichondrius","32510.0"
"108.0","","Iressaa","From Chaos","US-Suramar","32505.0"
"109.0","","Hùrin","Unity","US-Ragnaros","32500.0"
"110.0","","Myfurion","Evenfall","US-Sargeras","32490.0"
"111.0","","Knewbee","Sovereign Unity","US-Emerald Dream","32485.0"
"112.0","","Jjookkeerr","CataAchieva","US-Maelstrom","32475.0"
"112.0","","Zerkom","Symbiotic","US-Thrall","32475.0"
"114.0","","Runìcpower","Turbulence","US-Trollbane","32455.0"
"114.0","","Kíriana","Convergence","US-Khaz'goroth","32455.0"
"114.0","","Cannicus","Merely a Setback","US-Thaurissan","32455.0"
"117.0","","Tyrent","Reloaded","US-Whisperwind","32450.0"
"117.0","","Meninas","","US-Stonemaul","32450.0"
"117.0","","Voidymort","","US-Frostmourne","32450.0"
"120.0","","Hygeiah","Alpha","US-Whisperwind","32430.0"
"121.0","","Rollexx","Limited Liability","US-Sargeras","32425.0"
"122.0","","Wubs","Tortured Reality","US-Jubei'Thos","32420.0"
"123.0","","Kerigann","Victorious Secret","US-Moon Guard","32415.0"
"123.0","","Picoglad","Gardiens du Lys","US-Zul'jin","32415.0"
"125.0","","Shaketotem","Obsidium","US-Thrall","32405.0"
"126.0","","Silverz","Remnants of the Fallen","US-Shadowmoon","32400.0"
"127.0","","Íllîdån","Ascendance","US-Uther","32390.0"
"128.0","","Azglok","Resistance","US-Hyjal","32375.0"
"129.0","","Xelriel","","US-Dalaran","32365.0"
"130.0","","Gersin","Defenestrate","US-Tichondrius","32360.0"
"130.0","","Kaiandra","Ameliorate","US-Bronzebeard","32360.0"
"132.0","","Melchey","","US-Zul'jin","32355.0"
"133.0","","Vocal","Baddies","US-Stormreaver","32345.0"
"134.0","","Doombringerx","Alliance Lives Matter","US-Stormrage","32330.0"
"135.0","","Spanko","Bearly Acceptable","US-Kil'jaeden","32315.0"
"136.0","","Beep","Restricted","US-Frostmourne","32310.0"
"137.0","","Shadowind","Hydra","US-Azralon","32305.0"
"137.0","","Halkal","Rutilus Luna","US-Twisting Nether","32305.0"
"137.0","","Kråtös","Game Over","US-Proudmoore","32305.0"
"140.0","","Eròs","Vulgar","US-Sargeras","32300.0"
"141.0","","Lightway","Bones","US-Stormrage","32295.0"
"142.0","","Bekstar","Squad Goals","US-Nagrand","32250.0"
"143.0","","Sickofmeyet","NFA","US-Lightbringer","32245.0"
"144.0","","Alathis","The Family Business","US-Sargeras","32240.0"
"145.0","","Mass","Crisp","US-Baelgun","32235.0"
"146.0","","Vicara","Edict","US-Moon Guard","32225.0"
"147.0","","Goope","Bank of Goop","US-Proudmoore","32210.0"
"148.0","","Khallthas","Dominance Hotel","US-Kel'Thuzad","32205.0"
"149.0","","Zarillion","Trash Mob Death Machine","US-Illidan","32195.0"
"149.0","","Awsika","Afro Ninjas","US-Lethon","32195.0"
"151.0","","Solaira","Crisp","US-Baelgun","32190.0"
"152.0","","Marothius","Unrated","US-Nathrezim","32175.0"
"152.0","","Akiruwu","Ethical","US-Frostmourne","32175.0"
"154.0","","Quidamtyra","Turbo Cyborg Ninjas","US-Ner'zhul","32170.0"
"154.0","","Peeyow","War Den","US-Stormrage","32170.0"
"156.0","","Drizzi","Action Team Broforce","US-Thrall","32160.0"
"157.0","","Arobynn","Arcane Council","US-Dath'Remar","32155.0"
"158.0","","Sukino","Overcoming","US-Azralon","32150.0"
"159.0","","Mygiraffe","Vindicatum","US-Icecrown","32115.0"
"160.0","","Virilher","Tyranny","US-Bleeding Hollow","32110.0"
"160.0","","Tamiller","ugh","US-Proudmoore","32110.0"
"162.0","","Arganthe","Rise Above","US-Azralon","32105.0"
"162.0","","Stab","Warpath","US-Illidan","32105.0"
"164.0","","Online","Infinity","US-Mannoroth","32100.0"
"164.0","","Kelly","Halcyon","US-Mok'Nathal","32100.0"
"166.0","","Gammstein","From Chaos","US-Suramar","32095.0"
"167.0","","Nightgecko","Amnesty","US-Elune","32085.0"
"167.0","","Hyskamir","Blackrock Cartel","US-Kilrogg","32085.0"
"169.0","","Mortalbane","Formality","US-Proudmoore","32080.0"
"170.0","","Jamuestus","Scripted Encounter","US-Area 52","32065.0"
"171.0","","Teelo","We have girls","US-Jubei'Thos","32050.0"
"172.0","","Blooddisease","Rexy and Friends","US-Frostmourne","32045.0"
"173.0","","Druidcaste","Imperial Guard","US-Azralon","32035.0"
"174.0","","Friggencute","Battle Kittens","US-Sargeras","32010.0"
"175.0","","Tydiz","Relevant","US-Frostmourne","31990.0"
"176.0","","Xegonie","Third Times the Charm","US-Emerald Dream","31965.0"
"176.0","","Blackhãnd","","US-Illidan","31965.0"
"178.0","","Badadin","Elysium","US-Hyjal","31960.0"
"178.0","","Lycanroc","Mything Persons","US-Kul Tiras","31960.0"
"178.0","","Robhunter","Unicorn Seven","US-Illidan","31960.0"
"181.0","","Sallust","Serious Casual","US-Mal'Ganis","31950.0"
"181.0","","Penguinpal","Divergence","US-Area 52","31950.0"
"181.0","","Yata","Untold Prophecy","US-Zul'jin","31950.0"
"181.0","","Camikins","Denial of Service","US-Burning Blade","31950.0"
"185.0","","Treborlock","Engineering Madness","US-Drenden","31945.0"
"185.0","","Grakusgg","Rally","US-Dalaran","31945.0"
"187.0","","Wuvs","FG","US-Stormrage","31940.0"
"187.0","","Letsshot","Complete Panic","US-Spinebreaker","31940.0"
"187.0","","Sikwit","Tabbed Out","US-Bleeding Hollow","31940.0"
"190.0","","Mahota","Slurp","US-Bleeding Hollow","31925.0"
"190.0","","Zxane","Hostility","US-Barthilas","31925.0"
"192.0","","Lockael","Betrayal","US-Frostmourne","31920.0"
"193.0","","Podnov","i am protagonist pls no","US-Scarlet Crusade","31910.0"
"194.0","","Shintorg","Expiation","US-Aggramar","31905.0"
"195.0","","Vexice","Symbiotic","US-Destromath","31890.0"
"195.0","","Thauronis","Kryptos","US-Llane","31890.0"
"197.0","","Realmentrust","Honestly","US-Frostmourne","31885.0"
"198.0","","Heavendawn","Bonus Stage","US-Stormrage","31850.0"
"199.0","","Madawk","Vulgar","US-Sargeras","31845.0"
"200.0","","Nightmehr","Taunt On Two","US-Alleria","31840.0"
"201.0","","Soulyouth","Early Night","US-Frostmourne","31825.0"
"201.0","","Weatherworn","Way of the Sword","US-Steamwheedle Cartel","31825.0"
"203.0","","Asmongold","Indestructible","US-Kel'Thuzad","31810.0"
"204.0","","Stigid","Game Over","US-Proudmoore","31805.0"
